title,answer,task
Кувшинки на пруду,Две кувшинки покроют озеро за месяц минус один день.,"На поверхности пруда плавает одна кувшинка, которая постоянно делится и разрастается. 
Таким образом, каждый день площадь, которую занимают кувшинки, увеличивается в два раза. Через месяц покрытой оказывается вся 
поверхность пруда. За сколько времени покроется кувшинками вся поверхность пруда, если изначально на поверхности будут плавать две кувшинки? 

"
Бабушкины гренки,"1. Обжаривается одна сторона первого и второго ломтика (1-я минута). 
      2. Первый ломтик переворачивается на другую сторону, второй временно убирается, а на его место кладется третий (2-я минута). 
      3. Убирается готовый первый ломтик, возвращается на сковороду второй и дожаривается вместе с перевернутым третьим (3-я минута).","Бабушка готовит внуку на ужин гренки. Для их приготовления она  использует маленькую сковороду, способную уместить 
только два хлебных ломтика. На обжаривание каждой из сторон ломтика хлеба затрачивается одна минута времени. Чтобы приготовить три гренки, бабушке достаточно 
всего лишь трех минут вместо очевидных четырех. Как ей удается это сделать? 

"
Сумма чисел,"Он выделил 49 пар чисел: 99 и 1, 98 и 2, 97 и 3 ... 51 и 49. В сумме каждая пара чисел равнялась ста, и оставалось два непарных числа 50 и 100. Следовательно, 49х100+50+100=5050.","В XIX веке один учитель задал своим ученикам вычислить сумму всех целых чисел от
единицы до ста. Компьютеров и калькуляторов тогда еще не было, и ученики принялись добросовестно складывать числа. 
И только один ученик нашел правильный ответ всего за несколько секунд. Им оказался Карл Фридрих Гаусс - будущий 
великий математик. Как он это сделал?

"
Притягательные игрушки,"Всем мишкам сделали повязки и говорили маленьким детям, что мишкам нужно оставаться в больнице, чтобы вылечиться. Дети с грустью, но с сочувствием соглашались.","В детской больнице юные пациенты очень любили играть с очарова­тельными плюшевыми мишками, 
которые были там. К сожалению, детям они так сильно нравились, что мишки стали исчезать: малолетние пациенты уносили их домой. Как руководство больницы решило эту проблему?

"
Король и премьер-министр,"Премьер-министр вытащил листок бумаги и, не глядя на него, скатал из него шарик — и проглотил. Поскольку на оставшемся листке стояло ""Уходите"", то королю пришлось признать, что на проглоченном листке значилось ""Останьтесь"".","Один король хотел сместить своего премьер-министра, но при этом не хотел его слишком обидеть. Он позвал премьер-министра к себе, положил при нем два листка бумаги в портфель и сказал: ""На одном листке я написал ""Уходите"", а на втором — ""Останьтесь"". Листок, который вы вытащите, решит вашу судьбу"".
Премьер-министр догадался, что на обоих листках было написано ""Уходите"". Как же, однако, умудрился он при этих условиях сохранить свое место?

"
Фальшивая монета,"Первое взвешивание: на каждую чашку весов кладем по три монеты. Если весы уравновешены, то для второго взвешивания берутся две из трех оставшихся монет. Если фальшивая монета на весах, то ясно, на какой она чашке весов. Если же весы уравновешены, то фальшивой является оставшаяся не взвешенная монета. Если при первом взвешивании одна из чашек перевешивает другую, то фальшивая монета находится среди монет, вес которых оказывается меньше. Тогда вторым взвешиванием устанавливаем, какая из монет фальшивая.","На столе лежат девять монет. Одна из них — фальшивая. Как при помощи двух взвешиваний можно найти фальшивую монету? (Фальшивая монета легче настоящих.)

"
Пожар на острове,"Человеку нужно зажечь огонь на подветренной от себя стороне и немного отойти навстречу основному пожару. Ветер погонит огонь, зажженный человеком, к подветренному концу острова. Когда этот участок выгорит, человек сможет вернуться на него и спокойно ждать, пока основной пожар дойдет до этого участка и погаснет, так как гореть уже будет нечему.","Человек находится на острове. Из-за долгой засухи трава и кусты на острове сильно пересохли. Внезапно на одном конце острова возник пожар, и ветер погнал огонь в сторону человека. Спастись в море человек не может, так как в море у самого берега плавает множество акул. Берегов без растительности на острове нет. Как человеку спастись? 

"
Необычное предложение,Это предложение содержит все буквы английского алфавита.,"Что необычного в предложении ""The quick brown fox jumps over the lazy dog""?
(Перевод: быстрая бурая лиса перепрыгивает через ленивую собаку).

"
Производство обуви,Воровство обуви (пар обуви) рабочими с фабрик.,"Владельцами одной известной фирмы по производству обуви, было внедрено довольно необычное оригинальное решение, 
согласно которому в одном городе на обувной фабрике изготавливались только правые ботинки, а в другом городе – только левые. 
Благодаря этому внедрению, фирма смогла значительно снизить некоторые свои убытки.
Что, по Вашему мнению, приносило фирме эти убытки? 

"
Переправа через реку,"Вначале переправляются оба сына. Один из сыновей возвращается обратно к отцу. Отец перебирается на противоположный берег к сыну. Отец остается на берегу, а сын переправляется на исходный берег за братом, после чего они оба переправляются к отцу.","Отец с двумя сыновьями отправился в поход. На их пути встретилась река, у берега которой
находился плот. Он выдерживает на воде или отца, или двух сыновей. Как переправиться на другой берег отцу и сыновьям?

"
Незадачливый рыбак,Удочку необходимо упаковать в коробку длиной 4 фута и шириной 3 фута (расположить по диагонали коробки).,"Один рыбак купил себе новую удочку длиной 5 футов. Домой ему приходиться добираться 
общественным транспортом, в котором правилами запрещено перевозить предметы длиной более 4-х футов. Как необходимо упаковать удочку, чтобы проехать в общественном транспорте не нарушая правил? 

"
Взвешивание крупы,"Нужно развесить крупу на две равные части по 4,5 кг;  затем развесить одну из этих частей еще раз пополам, то есть по 2,25 кг, и от одной из этих частей отнять при помощи двух имеющихся гирь 250 г. Таким образом, Вы получите вес в 2 кг.","Имеется 9 кг крупы и чашечные весы с гирями в 50 г и 200 г. Попробуйте в три приема отвесить 2 кг этой крупы.

"
Новые таблички,Правильный ответ - 20 девяток.,"В одном городе построили новый район из 100 домов. Мастера по изготовлению 
табличек изготовили и привезли пачку новых табличек с нумерацией домов от 1 до 100. Сосчитайте количество всех цифр 9 встречающихся в этих табличках (цифры 9 и 6 являются разными цифрами).

"
Кто изображен на портрете?,На портрете изображен сын этого джентльмена.,"Один джентльмен, показывая своему другу портрет, нарисованный по его заказу одним художником, сказал: ""У меня нет ни сестер, ни братьев, но отец этого человека был сыном моего отца"". 
Кто был изображен на портрете? 

"
Погремушки,Плоды гороха - (“шут гороховый”).,"Многие средневековые русские актёры (скоморохи) веселящие народ в ту пору, во время своих выступлений 
использовали погремушки, изготовленные из бычьего пузыря и находящихся внутри него плодов одного растения. 
Плоды, какого растения использовались при изготовлении этих погремушек? 

"
