movie_script,movie_description,title
,"Уилл Хантинг - двадцатилетний парень из Бостона, который то и дело ввязывается в неприятные истории. Неожиданно он открывает в себе феноменальные математические способности. И когда полиция арестовывает его за очередную драку, профессор математики берет его под свою опеку, но при одном условии: Уилл должен пройти курс психотерапии. Сеансы `перевоспитания`, начавшиеся с недоверия, постепенно перерастают в дружбу между Уиллом и его наставником. ",Умница Уилл Хантинг
,"Действие фильма разворачивается в наши дни. Группа ученых отправляется в Антарктиду, чтобы отыскать колыбель цивилизации, царившей на Земле многие тысячелетия назад. Под толщей льда они находят пирамиды, в которых обнаруживают человеческие скелеты и следы жизнедеятельности чужих. Однако они еще не знают, что уже находятся под колпаком у хозяев этого города – хищников, и их дни сочтены. Человеческая приманка поможет хищникам, наконец, завершить войну двух космических цивилизаций.  ",Чужой против Хищника
,"Лента рассказывает истинную историю странной и пестрой жизни самой одиозной фигуры американского кино - Эда Вуда, признанного худшим режиссером за всю историю Голливуда!Стильный провокационный фильм  Тима Бертона, удостоенный двух премий ""Оскар"", премии ""Золотой Глобус"" и номинации на Гран-при Каннского кинофестиваля. ",Эд Вуд
,"В октябре 1994 года три студента-кинематографиста отправились в леса штата Мэриленд, чтобы снять курсовой документальный фильм о местной легенде - ведьме из Блер. Больше их никто никогда не видел. Год спустя, в лесу, были найдены отснятые ими материалы, которые и предлагаются Вашему вниманию. ",Ведьма из Блэр: Курсовая с того света
,"Маленький калифорнийский городок Санта - Роза терроризирует маньяк - убийца. Маньяк - киноман, и свои дьявольские идеи он черпает в кинофильмах. Избранные им молодые жертвы могут избежать гибели, если только они следуют правилам, которые предписывают ленты, которых он насмотрелся: не открывать дверь незнакомцам и не спрашивать `кто там?`, не прятаться в кладовой, не отвечать на телефонные звонки, не пить и не употреблять наркотики, не заниматься сексом. И самое главное - никогда, ни при каких обстоятельствах не кричать! ",Крик
,"Семнадцатилетняя Келли влюбляется в своего учителя Сэма. Она использует всевозможные способы, чтобы привлечь его внимание, но безрезультатно. А когда женщина не получает желаемого, она начинает мстить. Несостоявшаяся любовница обвиняет Сэма в изнасиловании. Улик явно недостаточно, пока на помощь Келли не приходит ее подруга, которая готова дать свидетельские показания. Но вскоре девушка понимает, что является всего лишь пешкой в нечестной игре... ",Дикость
,"В новом тысячелетии над человечеством нависла смертельная опасность. Несметные полчища гигантских разумных жуков с далекой планеты Клендат угрожают всему живому во вселенной. Солдат элитного подразделения Джонни Рико и пилот Кармен в составе звездного десанта Землян на космическом военном корабле Тикондерога отправляются в зловещие глубины космоса, чтобы в последней решающей схватке решить судьбу Земли. В их руках - современнейшее оружие и будущее людской расы. ",Звездный десант
,"Совершенно безбашенная и отвязнейшая кинопародия на все суперхиты последних лет: ""Шестое чувство"", ""Матрица"", ""Американский пирог"", ""Я знаю, что вы сделали прошлым летом"", ""Ведьма из Блэр"", ""Крик"" и многие другие. ",Очень страшное кино
,"Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин, криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так, и обычный грабеж превратился в кровавую бойню. Один за другим оставшиеся в живых грабители собираются в условленном месте встречи – на заброшенном складе. Двое из них убиты, один тяжело ранен. И они знают, что среди них - предатель, сдавший их полиции... ",Бешеные псы
,"Спасаясь от полиции после ограбления банка, два брата - грабителя берут в заложники священника и его детей. Около мексиканской границыони решают провести ночь в придорожном баре. После заката оказывается, что все постояльцы бара - вамирамы, жаждущие крови...  ",От заката до рассвета
,"Свет кинопроектора способен проникать в самые темные уголки человеческой души. На пленке, которая попала в руки частного детектива, запечатлена сцена зверского убийства молодой женщины. Он получает задание установить личность несчастной и выяснить, действительно ли было совершено преступление. В стремительном мелькании страшных кадров сыщик безуспешно пытается различить лицо главного режиссера. Помимо своей воли детектив становится частью жестокого сценария, где ему отведена роль жертвы. В 8 миллиметрах от гибели любой неосторожный шаг может оказаться роковым... ",8 миллиметров
,"The film's plot unfolds in occupied France. Before Susanne Dreyfus' eyes, her family is killed by the hands of German Colonel Hans Landa. The girl miraculously manages to escape and flees to Paris. There she gets a job at a movie theater. At the same time, somewhere in Europe, Lieutenant Aldo Raine assembles a group of Jewish soldiers who call themselves the ""Inglourious Basterds."" They are joined by secret agent Bridget von Hammersmark, who poses as an actress. The two plot lines intersect when the saboteurs meet Susanne at the movie theater, who dreams of avenging the offenders.",Бесславные ублюдки
,"Landon Carter - a popular guy who sees himself as the king of the school... Jamie Sullivan - a quiet, modest girl, daughter of the local reverend... Their paths were not meant to cross, yet it still happened when Landon was sent to do ""community service"" after another misdeed, where he met his unexpected love. Both he and she refuse to believe this has happened, but it seems their love will prove stronger than what they were used to believing in life.",Спеши любить
,"The action of the romantic tragicomedy takes place in 1951. The main character is a young writer who, after the war, ended up on the ""black"" list of the Committee of Anti-American Activists. He suffers from amnesia after a car accident, and when the guy accidentally ends up in a small town, he is taken there for the missing son of the local movie theater owner.",Маджестик
,"He considered himself lucky at the time, while in reality he was on the brink of an abyss. Milo Hoffman, a young genius programmer, got a prestigious position at the mega-corporation of media mogul Gary Winston, a sort of new generation Bill Gates. Hoffman was presented with bright prospects for growth, the hero was already anticipating a brilliant career, when... Suddenly, behind the amazing facade of the thriving company, its true features started to show through to him - a monster devouring competitors, full of dangerous secrets. Too late Milo realized that he had become a cog in an inhuman machine, a pawn in the criminal game of the sly billionaire. Will the pawn dare to challenge the Player, who can sweep it off the board with a flick of his pinky?..",Опасная правда
,"When writer Joe and his wife - actress Sally threw a party for the sixth anniversary of their troubled marriage, the guests and hosts began to tell each other things they had never heard in Hollywood - the truth.",Юбилей
,"After the first manned flight to Mars met with a catastrophic and mysterious disaster, a rescue operation was launched to investigate the circumstances of the tragedy and bring back any survivors.",Миссия на Марс
,"This film - an adaptation of Mary Shelley's famous Gothic novel about the monster created by the brilliant Doctor Frankenstein - is considered by critics to be the scariest of all cinematic versions of the book. The film's producer Francis Coppola and director Kenneth Branagh, recognized masters of the genre, created a truly hypnotic spectacle about the adventures of the terrible monster, played by Robert De Niro, who once again demonstrated his unique gift - to captivate audiences and make their hearts tremble with fear.",Франкенштейн
,"Thanks to the machinations of the forces of Evil, the hero of the film, armed with a chainsaw and shotgun, finds himself transported to medieval England during the time of King Arthur. He must battle an army of the undead, led by a ruthless demon - his own doppelganger! The only way to return home is to find the mysterious ancient book ""Necronomicon"", with whose help he will have a chance to send the legions of the dead to hell forever.",Зловещие мертвецы 3
,"""Manhunter"" is a mesmerizing chase after a serial killer nicknamed ""The Tooth Fairy."" An FBI agent following the trail of this most dangerous criminal is forced to use the only method of searching: cooperating with Dr. Hannibal Lecter, imprisoned in a prison psychiatric hospital, he must ""enter"" the nightmare inner world of the murderer.",Охотник на людей
,"A small American town is gripped by fear: at night, at the full moon, someone brutally kills its inhabitants. Someone covered in fur, mysterious and elusive. Volunteers who went to look for the killer become his victims themselves. Only 13-year-old Marty, confined to a wheelchair, is convinced that the murders are committed by a werewolf, against which any weapon is powerless except a silver bullet. Marty not only saw the monster with his own eyes, but even wounded it in the eye. But no one believes the boy's stories, except for his uncle Red. Meanwhile, the werewolf is already ready to go hunting again...",Серебряная пуля
,"There are in old England wicked, eerie places, traveling through which is extremely dangerous... And our heroes, two carefree American tourists, were warned about this. But the merry transatlantic guys did not heed the warnings of the locals and in the dead of night, illuminated by the ghostly light of the moon, left the road... Here, in the darkness, an indescribable nightmare awaited them, after which one of the Americans was destined to become a terrible ghost, and the other - a bloodthirsty werewolf!",Американский оборотень в Лондоне
,"Brothers Connor and Murphy one fine day decide that God Himself sent them to earth to cleanse the world of evil. And they set about their task with all the seriousness characteristic of the Irish. Soon the local mafia is gripped by real panic, because the methods of the ""saints"" are not particularly humane, but turn out to be very effective: blood flows in rivers! The mass execution of the mafia could not fail to attract the attention of the FBI. Special agent Paul Smecker, who is leading the investigation, finds himself in a difficult situation: his official duty requires him to stop the activities of the ""saintly brothers"", but deep down he not only sympathizes with them, but is even ready to join the executors of the ""sacred"" mission.",Святые из Бундока
,"Two sailors stand trial for the unlawful killing of their comrade. The task of defending them falls to a young and self-assured hereditary lawyer who clearly prefers baseball to the cruel games of the law. However, the case turns out to be not as simple as it seemed to him, and he decides to uncover the mystery of the brutal murders and punish those responsible for the soldier's death, no matter the cost. Challenging the powers that be, he risks everything - his career, his peaceful existence, even his life. But to win in this confrontation, first of all he has to defeat himself, his deepest fears...",Несколько хороших парней
